{'epoch': 37, 'iter': 352, 'loss': 0.358602911233902, 'loss_fs': 0.20846785604953766, 'loss_cls': 0.1494341641664505, 'loss_cap': 0.07008975744247437}
{'epoch': 38, 'iter': 352, 'loss': 0.7242002487182617, 'loss_fs': 0.7168617248535156, 'loss_cls': 0.006911295000463724, 'loss_cap': 0.04272529482841492}
{'epoch': 39, 'iter': 352, 'loss': 0.16951298713684082, 'loss_fs': 0.16848963499069214, 'loss_cls': 6.131044210633263e-05, 'loss_cap': 0.09620540589094162}
{'epoch': 40, 'iter': 352, 'loss': 0.15588614344596863, 'loss_fs': 0.07845808565616608, 'loss_cls': 0.05979304760694504, 'loss_cap': 1.7635020017623901}
{'epoch': 41, 'iter': 352, 'loss': 0.3753918409347534, 'loss_fs': 0.2859583795070648, 'loss_cls': 0.08566914498806, 'loss_cap': 0.376433789730072}
{'epoch': 42, 'iter': 352, 'loss': 0.21065223217010498, 'loss_fs': 0.20518893003463745, 'loss_cls': 0.005359157919883728, 'loss_cap': 0.010413846001029015}
{'epoch': 43, 'iter': 352, 'loss': 0.3827373683452606, 'loss_fs': 0.3475435972213745, 'loss_cls': 0.013565519824624062, 'loss_cap': 2.162825584411621}
{'epoch': 44, 'iter': 352, 'loss': 0.27322980761528015, 'loss_fs': 0.24762313067913055, 'loss_cls': 0.004262617789208889, 'loss_cap': 2.134406328201294}
{'epoch': 45, 'iter': 352, 'loss': 0.5432752966880798, 'loss_fs': 0.3052594065666199, 'loss_cls': 0.2376706898212433, 'loss_cap': 0.03451623022556305}
{'epoch': 46, 'iter': 352, 'loss': 0.10617581754922867, 'loss_fs': 0.10565769672393799, 'loss_cls': 0.0003420753637328744, 'loss_cap': 0.017604170367121696}
{'epoch': 47, 'iter': 352, 'loss': 0.07489343732595444, 'loss_fs': 0.07213229686021805, 'loss_cls': 0.0025538273621350527, 'loss_cap': 0.020731046795845032}
{'epoch': 48, 'iter': 352, 'loss': 0.2817509174346924, 'loss_fs': 0.28016531467437744, 'loss_cls': 0.0013674290385097265, 'loss_cap': 0.021819068118929863}
{'epoch': 49, 'iter': 352, 'loss': 0.04110949486494064, 'loss_fs': 0.0385858379304409, 'loss_cls': 0.0019340717699378729, 'loss_cap': 0.058958619832992554}
{'epoch': 50, 'iter': 352, 'loss': 0.1935805082321167, 'loss_fs': 0.18862968683242798, 'loss_cls': 5.709903780370951e-05, 'loss_cap': 0.48937222361564636}
{'epoch': 51, 'iter': 352, 'loss': 0.058661967515945435, 'loss_fs': 0.05730225145816803, 'loss_cls': 0.0012113322736695409, 'loss_cap': 0.014838233590126038}
{'epoch': 52, 'iter': 352, 'loss': 0.1275169998407364, 'loss_fs': 0.12737661600112915, 'loss_cls': 2.3205844627227634e-05, 'loss_cap': 0.011717541143298149}
{'epoch': 53, 'iter': 352, 'loss': 0.1896398812532425, 'loss_fs': 0.18852320313453674, 'loss_cls': 0.0004746932245325297, 'loss_cap': 0.06419878453016281}
{'epoch': 54, 'iter': 352, 'loss': 0.14244580268859863, 'loss_fs': 0.13816004991531372, 'loss_cls': 4.7761714085936546e-05, 'loss_cap': 0.4237992763519287}
{'epoch': 55, 'iter': 352, 'loss': 0.38138213753700256, 'loss_fs': 0.3809494376182556, 'loss_cls': 0.0002891060139518231, 'loss_cap': 0.01435987651348114}
{'epoch': 56, 'iter': 352, 'loss': 0.1683642566204071, 'loss_fs': 0.1678655594587326, 'loss_cls': 0.00040932666161097586, 'loss_cap': 0.008937068283557892}
{'epoch': 57, 'iter': 352, 'loss': 0.06541689485311508, 'loss_fs': 0.06530746817588806, 'loss_cls': 3.3138909202534705e-05, 'loss_cap': 0.007628505118191242}
{'epoch': 58, 'iter': 352, 'loss': 0.09561615437269211, 'loss_fs': 0.09401240944862366, 'loss_cls': 9.52811969909817e-05, 'loss_cap': 0.15084697306156158}
{'epoch': 59, 'iter': 352, 'loss': 0.0821947380900383, 'loss_fs': 0.08070427924394608, 'loss_cls': 1.1523490684339777e-05, 'loss_cap': 0.14789307117462158}
{'epoch': 60, 'iter': 352, 'loss': 0.1444963663816452, 'loss_fs': 0.1396394968032837, 'loss_cls': 0.004788258112967014, 'loss_cap': 0.006860039662569761}
