{'epoch': 135, 'iter': 352, 'loss': 0.06822630763053894, 'loss_fs': 0.06785526871681213, 'loss_cls': 0.0003670054429676384, 'loss_cap': 0.0004031757125630975}
{'epoch': 136, 'iter': 352, 'loss': 0.03514838218688965, 'loss_fs': 0.03430043160915375, 'loss_cls': 0.000841308559756726, 'loss_cap': 0.0006642129155807197}
{'epoch': 137, 'iter': 352, 'loss': 0.05704319849610329, 'loss_fs': 0.056930214166641235, 'loss_cls': 0.0001100649096770212, 'loss_cap': 0.00029221561271697283}
{'epoch': 138, 'iter': 352, 'loss': 0.0467725545167923, 'loss_fs': 0.04666345566511154, 'loss_cls': 0.0001052114021149464, 'loss_cap': 0.0003890478692483157}
{'epoch': 139, 'iter': 352, 'loss': 0.014989002607762814, 'loss_fs': 0.01496521569788456, 'loss_cls': 1.962936767085921e-05, 'loss_cap': 0.00041573724593035877}
{'epoch': 140, 'iter': 352, 'loss': 0.0604662261903286, 'loss_fs': 0.06039746105670929, 'loss_cls': 3.9138580177677795e-05, 'loss_cap': 0.0029625720344483852}
{'epoch': 141, 'iter': 352, 'loss': 0.040260832756757736, 'loss_fs': 0.04013162851333618, 'loss_cls': 0.00012210286513436586, 'loss_cap': 0.0007099638460204005}
{'epoch': 142, 'iter': 352, 'loss': 0.03508634865283966, 'loss_fs': 0.0350193977355957, 'loss_cls': 6.282160757109523e-05, 'loss_cap': 0.0004126105341129005}
{'epoch': 143, 'iter': 352, 'loss': 0.04132312908768654, 'loss_fs': 0.0412922166287899, 'loss_cls': 2.837161264324095e-05, 'loss_cap': 0.0002540280984248966}
{'epoch': 144, 'iter': 352, 'loss': 0.034240953624248505, 'loss_fs': 0.0342283770442009, 'loss_cls': 8.10619803814916e-06, 'loss_cap': 0.000446908496087417}
{'epoch': 145, 'iter': 352, 'loss': 0.03437388688325882, 'loss_fs': 0.034349218010902405, 'loss_cls': 1.700705433904659e-05, 'loss_cap': 0.0007664063014090061}
{'epoch': 146, 'iter': 352, 'loss': 0.03096168115735054, 'loss_fs': 0.030921844765543938, 'loss_cls': 3.393427323317155e-05, 'loss_cap': 0.0005903547862544656}
{'epoch': 147, 'iter': 352, 'loss': 0.030438944697380066, 'loss_fs': 0.029956573620438576, 'loss_cls': 0.0004774534027092159, 'loss_cap': 0.0004916932666674256}
{'epoch': 148, 'iter': 352, 'loss': 0.03381430730223656, 'loss_fs': 0.03363213315606117, 'loss_cls': 0.00017809774726629257, 'loss_cap': 0.0004076262703165412}
{'epoch': 149, 'iter': 352, 'loss': 0.012489519082009792, 'loss_fs': 0.012466243468225002, 'loss_cls': 1.974879160115961e-05, 'loss_cap': 0.00035273571847938}
